"Osnovni podatki o razvezah zakonskih zvez (absolutni podatki in"
"kazalniki) po: STATISTI?NA REGIJA, MERITVE , LETO"

" ";"Razveze zakonskih zvez";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" LETO ";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Pomurska";60;107;75;67;129;82;97;127;122;109;115;132;113;129;121;133;123;109;125;125;126;115
"Podravska";323;354;346;341;318;360;350;416;391;414;453;403;374;373;390;393;363;383;377;387;364;374
"Koroska";59;37;58;58;54;46;42;56;68;92;60;61;66;66;63;51;54;78;72;64;59;78
"Savinjska";235;232;225;234;251;239;281;290;286;304;302;304;322;285;297;322;252;276;267;260;263;275
"Zasavska";37;52;38;39;41;52;52;63;49;52;73;33;63;47;41;50;46;49;40;45;73;90
"Posavska";40;67;69;59;67;78;57;66;72;60;75;77;70;70;69;91;73;95;75;71;77;83
"Jugovzhodna Slovenija";94;120;111;128;90;127;129;164;121;137;159;151;166;146;152;153;131;185;135;159;161;136
"Osrednjeslovenska";349;616;650;631;625;615;670;694;731;620;805;533;784;555;603;666;723;751;709;734;705;772
"Gorenjska";168;157;196;241;233;239;253;257;266;251;260;266;269;237;232;254;248;223;227;277;234;255
"Primorsko-notranjska";30;35;32;41;38;41;61;43;58;62;66;61;51;54;55;49;55;68;56;56;53;65
"Goriska";50;91;110;110;89;109;109;114;130;115;112;141;151;120;114;118;128;105;124;119;116;130
"Obalno-kraska";140;136;86;125;139;137;173;167;167;195;167;172;188;164;160;150;102;187;144;172;201;158
