Osnovni podatki o sklenitvah zakonskih zvez po: LETO , MERITVE;;;;;;;;;;
;;;;;;;;;;
 ;Sklenitve zakonskih zvez - Skupaj;Prve sklenitve zakonskih zvez;Zakonski stan zenina - samski;Zakonski stan zenina - vdovec;Zakonski stan zenina - razvezan;Zakonski stan neveste - samska;Zakonski stan neveste - vdova;Zakonski stan neveste - razvezana;Povprecna starost zenina ob sklenitvi zakonske zveze;Povprecna starost neveste ob sklenitvi zakonske zveze
1955;14105;12490;12925;499;681;13329;377;399;-;-
1960;14013;12080;12528;502;983;13084;340;589;29.1;25.8
1965;15121;13011;13613;483;1025;14082;330;709;28.1;24.9
1970;14281;12295;12723;507;1051;13143;362;776;28.0;24.3
1975;15379;13263;13807;457;1115;14077;383;919;27.2;24.0
1980;12377;10547;11049;325;1003;11247;283;847;27.5;24.1
1985;10579;9123;9510;220;849;9651;224;704;27.2;23.8
1990;8517;7251;7637;165;715;7701;146;670;28.7;25.4
1991;8173;7058;7391;134;648;7416;133;624;28.6;25.6
1992;9119;7681;8132;145;842;8137;179;803;29.3;26.1
1993;9022;7503;7979;213;830;8003;199;820;30.0;26.7
1994;8314;6965;7357;221;736;7412;188;714;30.2;26.9
1995;8245;7009;7354;198;693;7426;164;655;30.1;26.9
1996;7555;6398;6718;155;682;6776;156;623;30.4;27.2
1997;7500;6329;6702;156;642;6699;152;649;30.7;27.6
1998;7528;6393;6753;151;624;6784;133;611;30.9;27.8
1999;7716;6945;6957;109;650;6945;90;681;31.3;28.1
2000;7201;6148;6498;112;591;6497;92;612;31.4;28.4
2001;6935;5966;6302;102;531;6290;78;567;31.8;28.8
2002;7064;5980;6332;109;623;6339;87;638;32.3;29.2
2003;6756;5745;6078;84;594;6135;78;543;32.3;29.2
2004;6558;5580;5897;83;578;5922;78;558;32.6;29.6
2005;5769;5051;5236;70;463;5349;51;369;33.0;29.8
2006;6368;5408;5684;92;592;5799;68;501;32.8;30.0
2007;6373;5251;5569;81;586;5687;75;487;33.2;30.3
2008;6703;5324;5716;79;586;5904;59;500;33.2;30.2
2009;6542;5536;5852;69;621;5917;77;548;33.1;30.3
2010;6528;5459;5800;86;642;5865;75;588;33.8;30.8
2011;6671;5601;5966;82;623;6029;68;574;34.1;31.2
2012;7057;5949;6315;66;676;6311;68;678;34.4;31.5
2013;6254;5273;5600;73;581;5663;56;535;34.5;31.6
2014;6571;5539;5874;67;630;5937;64;570;34.5;31.8
2015;6449;5435;5768;68;613;5794;49;606;34.8;32.1
2016;6667;5557;5918;59;690;5955;62;650;35.3;32.6
